speed,power,final_volume,depo_rate_mean,depo_rate_std,final_max_stress
9.6,747.5,10,10,1,300
9.41,734.86,11.31313131,10,1,300
9.13,723.73,12.62626263,10,1,300
8.69,700.43,13.93939394,10,1,300
8.25,677.14,15.25252525,10,1,300
7.81,653.86,16.56565657,10,1,300
7.37,630.57,17.87878788,10,1,300
6.93,607.58,19.19191919,10,1,300
6.49,584.68,20.50505051,10,1,300
6.06,561.79,21.81818182,10,1,300
5.62,538.92,23.13131313,10,1,300
5.18,516.36,24.44444444,10,1,300
4.75,494.45,25.75757576,10,1,300
4.46,476.55,27.07070707,10,1,300
4.27,462.57,28.38383838,10,1,300
4.24,456.12,29.6969697,10,1,300
4.21,449.66,31.01010101,10,1,300
4.18,443.21,32.32323232,10,1,300
4.01,443.4,33.63636364,10,1,300
3.82,444.41,34.94949495,10,1,300
3.63,445.41,36.26262626,10,1,300
3.45,446.41,37.57575758,10,1,300
3.26,447.4,38.88888889,10,1,300
3.07,448.39,40.2020202,10,1,300
2.88,449.37,41.51515152,10,1,300
2.7,450.35,42.82828283,10,1,300
2.51,451.32,44.14141414,10,1,300
2.35,452.47,45.45454545,10,1,300
2.36,456.6,46.76767677,10,1,300
2.37,463.01,48.08080808,10,1,300
2.38,469.41,49.39393939,10,1,300
2.35,475.67,50.70707071,10,1,300
2.3,481.98,52.02020202,10,1,300
2.26,488.27,53.33333333,10,1,300
2.21,494.55,54.64646465,10,1,300
2.16,500.89,55.95959596,10,1,300
